customer_id,credit_score,risk_grade,external_active_loans,external_overdue_amount,bureau_pull_date
1001,661,MEDIUM,1,0,2025-01-01
1002,393,MEDIUM,3,0,2025-01-01
1003,677,MEDIUM,4,0,2025-01-01
1004,315,LOW,2,0,2025-01-01
1005,722,HIGH,3,0,2025-01-01
1006,400,LOW,2,0,2025-01-01
1007,704,LOW,1,0,2025-01-01
1008,631,MEDIUM,3,0,2025-01-01
1009,590,HIGH,3,0,2025-01-01
1010,475,HIGH,4,15000,2025-01-01
1011,349,MEDIUM,3,0,2025-01-01
1012,434,LOW,1,15000,2025-01-01
1013,818,LOW,2,0,2025-01-01
1014,776,MEDIUM,3,0,2025-01-01
1015,722,MEDIUM,2,15000,2025-01-01
1016,500,HIGH,2,15000,2025-01-01
1017,484,HIGH,0,15000,2025-01-01
1018,717,HIGH,0,0,2025-01-01
1019,323,HIGH,4,15000,2025-01-01
1020,621,HIGH,4,0,2025-01-01
1021,738,LOW,0,0,2025-01-01
1022,548,HIGH,2,0,2025-01-01
1023,581,HIGH,4,0,2025-01-01
1024,556,MEDIUM,3,0,2025-01-01
1025,668,MEDIUM,2,0,2025-01-01
1026,405,MEDIUM,4,0,2025-01-01
1027,782,LOW,4,0,2025-01-01
1028,786,MEDIUM,1,0,2025-01-01
1029,592,LOW,4,0,2025-01-01
1030,641,MEDIUM,1,0,2025-01-01
1031,360,LOW,4,0,2025-01-01
1032,467,LOW,2,15000,2025-01-01
1033,351,LOW,2,0,2025-01-01
1034,448,MEDIUM,1,0,2025-01-01
1035,726,LOW,4,15000,2025-01-01
1036,593,MEDIUM,0,0,2025-01-01
1037,823,HIGH,0,15000,2025-01-01
1038,379,HIGH,3,0,2025-01-01
1039,469,HIGH,1,0,2025-01-01
1040,680,HIGH,2,15000,2025-01-01
1041,393,LOW,1,5000,2025-01-01
1042,432,MEDIUM,0,0,2025-01-01
1043,333,MEDIUM,3,0,2025-01-01
1044,692,LOW,1,0,2025-01-01
1045,559,MEDIUM,1,0,2025-01-01
1046,581,HIGH,2,0,2025-01-01
1047,437,MEDIUM,1,0,2025-01-01
1048,617,HIGH,4,5000,2025-01-01
1049,417,HIGH,2,5000,2025-01-01
1050,593,HIGH,1,5000,2025-01-01
1051,848,HIGH,1,15000,2025-01-01
1052,822,HIGH,2,0,2025-01-01
1053,637,HIGH,2,0,2025-01-01
1054,474,HIGH,0,15000,2025-01-01
1055,362,HIGH,0,0,2025-01-01
1056,559,LOW,2,0,2025-01-01
1057,360,HIGH,3,0,2025-01-01
1058,425,HIGH,4,0,2025-01-01
1059,836,HIGH,1,15000,2025-01-01
1060,669,MEDIUM,2,0,2025-01-01
1061,834,HIGH,0,0,2025-01-01
1062,725,LOW,1,15000,2025-01-01
1063,827,HIGH,1,0,2025-01-01
1064,689,LOW,0,0,2025-01-01
1065,472,LOW,1,0,2025-01-01
1066,508,HIGH,3,0,2025-01-01
1067,464,LOW,0,0,2025-01-01
1068,454,HIGH,3,0,2025-01-01
1069,325,MEDIUM,3,0,2025-01-01
1070,763,HIGH,4,0,2025-01-01
1071,576,HIGH,1,0,2025-01-01
1072,601,MEDIUM,3,0,2025-01-01
1073,431,MEDIUM,3,0,2025-01-01
1074,769,MEDIUM,2,0,2025-01-01
1075,754,MEDIUM,4,0,2025-01-01
1076,458,HIGH,4,0,2025-01-01
1077,465,MEDIUM,4,0,2025-01-01
