customer_id,credit_score,risk_grade,external_active_loans,external_overdue_amount,bureau_pull_date
5488,755,LOW,4,0,2025-02-15
5068,488,MEDIUM,4,0,2025-02-15
2851,723,LOW,0,0,2025-02-15
5736,333,MEDIUM,2,5000,2025-02-15
5214,767,LOW,1,0,2025-02-15
5270,459,LOW,3,0,2025-02-15
5842,344,MEDIUM,0,0,2025-02-15
5585,814,HIGH,2,0,2025-02-15
1195,627,MEDIUM,0,0,2025-02-15
5250,313,HIGH,2,5000,2025-02-15
5541,370,LOW,3,0,2025-02-15
4463,673,LOW,0,0,2025-02-15
5415,602,HIGH,1,0,2025-02-15
5850,701,HIGH,2,0,2025-02-15
5029,613,HIGH,2,0,2025-02-15
5645,659,MEDIUM,4,0,2025-02-15
5364,800,MEDIUM,4,0,2025-02-15
2834,624,LOW,0,0,2025-02-15
2979,728,LOW,1,0,2025-02-15
5655,731,HIGH,2,5000,2025-02-15
5794,628,LOW,0,5000,2025-02-15
5550,586,MEDIUM,0,0,2025-02-15
5202,722,HIGH,0,0,2025-02-15
5774,500,MEDIUM,1,0,2025-02-15
5824,638,LOW,1,5000,2025-02-15
5370,325,MEDIUM,4,0,2025-02-15
4737,625,LOW,2,0,2025-02-15
5926,404,HIGH,4,0,2025-02-15
4950,748,LOW,1,0,2025-02-15
5126,665,LOW,4,0,2025-02-15
4228,840,LOW,2,0,2025-02-15
5312,497,MEDIUM,3,0,2025-02-15
5321,400,HIGH,1,0,2025-02-15
5828,544,HIGH,1,0,2025-02-15
5701,774,LOW,1,5000,2025-02-15
5758,330,LOW,2,0,2025-02-15
5843,587,MEDIUM,0,0,2025-02-15
2038,846,LOW,0,0,2025-02-15
5316,469,MEDIUM,3,0,2025-02-15
5930,656,LOW,2,0,2025-02-15
1976,766,MEDIUM,2,0,2025-02-15
4250,685,LOW,1,0,2025-02-15
3746,840,MEDIUM,0,0,2025-02-15
4053,700,LOW,1,0,2025-02-15
4253,737,LOW,1,0,2025-02-15
5067,481,HIGH,2,0,2025-02-15
5901,766,LOW,0,0,2025-02-15
5877,544,LOW,3,5000,2025-02-15
5474,777,LOW,2,0,2025-02-15
3321,696,MEDIUM,2,0,2025-02-15
3040,830,LOW,2,0,2025-02-15
5181,329,MEDIUM,3,5000,2025-02-15
5678,480,LOW,2,0,2025-02-15
3310,703,LOW,0,0,2025-02-15
1822,815,MEDIUM,0,0,2025-02-15
4081,702,LOW,0,0,2025-02-15
5440,679,LOW,0,0,2025-02-15
5588,402,LOW,3,0,2025-02-15
5917,810,LOW,4,0,2025-02-15
5867,394,MEDIUM,3,5000,2025-02-15
4113,726,MEDIUM,1,0,2025-02-15
5967,514,MEDIUM,1,0,2025-02-15
3667,624,MEDIUM,0,0,2025-02-15
2328,611,LOW,0,0,2025-02-15
5267,503,LOW,3,0,2025-02-15
5444,735,LOW,2,5000,2025-02-15
5797,524,LOW,1,0,2025-02-15
3664,810,MEDIUM,0,0,2025-02-15
3646,785,MEDIUM,0,0,2025-02-15
5290,640,MEDIUM,4,0,2025-02-15
3875,603,LOW,2,0,2025-02-15
5625,552,MEDIUM,2,0,2025-02-15
5087,735,HIGH,4,0,2025-02-15
4915,814,MEDIUM,0,0,2025-02-15
5633,356,MEDIUM,0,5000,2025-02-15
5144,758,MEDIUM,4,0,2025-02-15
5693,594,LOW,0,0,2025-02-15
5254,686,LOW,1,0,2025-02-15
2254,810,MEDIUM,1,0,2025-02-15
1309,798,LOW,1,0,2025-02-15
5283,600,LOW,3,0,2025-02-15
5631,848,HIGH,0,0,2025-02-15
5381,634,LOW,4,0,2025-02-15
5994,424,HIGH,2,5000,2025-02-15
5396,496,LOW,3,0,2025-02-15
