txn_id,gateway_name,gateway_status,response_code,processing_time_ms,device_type,geo_location,processed_timestamp
30001,Stripe,SUCCESS,00,1474,ATM,Mumbai,2024-01-01 00:03:38
30002,BillDesk,SUCCESS,00,125,Mobile,Chennai,2024-01-01 00:46:50
30003,Stripe,SUCCESS,00,1229,POS,Mumbai,2024-01-01 00:52:17
30004,Stripe,SUCCESS,00,1384,ATM,Pune,2024-01-01 01:24:23
30005,Stripe,SUCCESS,00,1411,ATM,Chennai,2024-01-01 01:53:38
30006,BillDesk,SUCCESS,00,342,Mobile,Delhi,2024-01-01 03:52:37
30007,Razorpay,SUCCESS,00,1353,Desktop,Bangalore,2024-01-01 04:02:59
30008,Stripe,SUCCESS,00,148,POS,Mumbai,2024-01-01 04:50:23
30009,BillDesk,SUCCESS,00,219,POS,Bangalore,2024-01-01 05:20:07
30010,BillDesk,SUCCESS,00,433,ATM,Mumbai,2024-01-01 05:35:57
30011,Stripe,SUCCESS,00,358,ATM,Bangalore,2024-01-01 05:40:27
30012,BillDesk,SUCCESS,00,1056,POS,Pune,2024-01-01 07:14:38
30013,BillDesk,SUCCESS,00,167,Desktop,Chennai,2024-01-01 07:20:52
30014,BillDesk,PENDING,12,1260,Mobile,Pune,2024-01-01 08:13:20
30015,Stripe,SUCCESS,00,1189,Mobile,Pune,2024-01-01 08:58:37
30016,Stripe,SUCCESS,00,356,POS,Bangalore,2024-01-01 09:57:59
30017,Stripe,SUCCESS,00,1165,Mobile,Delhi,2024-01-01 10:00:14
30018,Stripe,SUCCESS,00,1381,ATM,Bangalore,2024-01-01 10:22:18
30019,Razorpay,SUCCESS,00,964,POS,Pune,2024-01-01 10:27:12
30020,PayU,SUCCESS,00,474,Mobile,Pune,2024-01-01 10:45:29
30021,Stripe,SUCCESS,00,1102,ATM,Bangalore,2024-01-01 11:14:58
30022,Razorpay,SUCCESS,00,176,Mobile,Mumbai,2024-01-01 13:13:59
30023,BillDesk,SUCCESS,00,1187,Mobile,Chennai,2024-01-01 13:48:30
30024,Stripe,SUCCESS,00,1245,Mobile,Chennai,2024-01-01 14:41:50
30025,Stripe,SUCCESS,00,915,Mobile,Chennai,2024-01-01 15:34:54
