txn_id,gateway_name,gateway_status,response_code,processing_time_ms,device_type,geo_location,processed_timestamp
45001,PayU,SUCCESS,00,352,ATM,Chennai,2025-02-01 00:00:46
45002,Razorpay,SUCCESS,00,1020,ATM,Chennai,2025-02-01 00:15:27
45003,Stripe,SUCCESS,00,1175,POS,Bangalore,2025-02-01 00:33:30
45004,Razorpay,PENDING,99,382,ATM,Delhi,2025-02-01 00:49:08
45005,PayU,SUCCESS,00,1173,ATM,Mumbai,2025-02-01 00:53:09
45006,Razorpay,SUCCESS,00,1239,Desktop,Mumbai,2025-02-01 01:03:10
45007,BillDesk,SUCCESS,00,1403,Desktop,Mumbai,2025-02-01 01:17:15
45008,BillDesk,SUCCESS,00,681,POS,Delhi,2025-02-01 01:19:07
45009,BillDesk,SUCCESS,00,390,POS,Mumbai,2025-02-01 01:22:24
45010,PayU,SUCCESS,00,1100,ATM,Mumbai,2025-02-01 01:27:36
45011,PayU,SUCCESS,00,1402,Mobile,Bangalore,2025-02-01 01:29:07
45012,Stripe,SUCCESS,00,597,Desktop,Mumbai,2025-02-01 01:32:34
45013,BillDesk,SUCCESS,00,354,Mobile,Chennai,2025-02-01 01:48:03
45014,PayU,SUCCESS,00,333,POS,Chennai,2025-02-01 02:00:15
45015,PayU,SUCCESS,00,981,ATM,Mumbai,2025-02-01 02:06:01
45016,Razorpay,SUCCESS,00,235,Mobile,Delhi,2025-02-01 02:12:12
45017,PayU,SUCCESS,00,202,Mobile,Delhi,2025-02-01 02:15:57
45018,Razorpay,FAILED,12,1023,POS,Pune,2025-02-01 02:23:24
45019,Razorpay,SUCCESS,00,630,POS,Chennai,2025-02-01 02:29:36
45020,Razorpay,SUCCESS,00,909,Mobile,Bangalore,2025-02-01 02:55:34
45021,Razorpay,SUCCESS,00,1201,POS,Bangalore,2025-02-01 03:05:14
45022,BillDesk,SUCCESS,00,189,Mobile,Bangalore,2025-02-01 03:05:44
45023,Razorpay,FAILED,05,742,POS,Chennai,2025-02-01 03:10:40
45024,PayU,SUCCESS,00,1337,Desktop,Bangalore,2025-02-01 03:15:08
45025,BillDesk,SUCCESS,00,777,ATM,Delhi,2025-02-01 03:23:41
45026,BillDesk,SUCCESS,00,133,Mobile,Chennai,2025-02-01 03:41:53
45027,PayU,SUCCESS,00,502,POS,Bangalore,2025-02-01 03:55:53
45028,Stripe,SUCCESS,00,1027,Mobile,Mumbai,2025-02-01 04:02:53
45029,Razorpay,SUCCESS,00,220,Mobile,Pune,2025-02-01 04:09:16
45030,Stripe,SUCCESS,00,1316,ATM,Mumbai,2025-02-01 04:10:52
45031,BillDesk,SUCCESS,00,1097,Desktop,Chennai,2025-02-01 04:16:46
45032,PayU,SUCCESS,00,919,Mobile,Delhi,2025-02-01 04:22:32
45033,Razorpay,PENDING,99,570,Mobile,Mumbai,2025-02-01 04:26:38
45034,PayU,SUCCESS,00,1259,POS,Bangalore,2025-02-01 04:28:42
45035,PayU,SUCCESS,00,142,Desktop,Mumbai,2025-02-01 04:42:14
45036,Stripe,SUCCESS,00,1077,POS,Mumbai,2025-02-01 04:58:00
45037,Stripe,FAILED,05,185,ATM,Delhi,2025-02-01 05:00:29
45038,Stripe,FAILED,99,1346,Mobile,Delhi,2025-02-01 05:05:08
45039,Razorpay,SUCCESS,00,1276,POS,Bangalore,2025-02-01 05:07:19
45040,Stripe,SUCCESS,00,539,Mobile,Chennai,2025-02-01 05:14:50
